Brand,Sector,Segment,Priority Tier,Website,HQ / India Office,Status Notes,Date Added
Voltas,Consumer Durables,"Air Conditioners, Cooling Appliances",High,myvoltas.com,"Mumbai, Maharashtra","Active COCO retail rollout (Panchkula, Lucknow, Karnataka drive) + 20%+ growth target FY27",2026-07-31
Haier,Consumer Durables,"Home Appliances (AC, Fridge, Washing Machine)",High,haier.com/in,"Greater Noida, UP","Rs 3,500cr capex plan, targeting Rs 14,500cr topline 2026, new southern plant + 12,000 jobs by 2027",2026-07-31
Liebherr,Consumer Durables,Premium Refrigeration / Built-in Appliances,Medium,home.liebherr.com/en-in,"Chhatrapati Sambhaji Nagar, Maharashtra","Premium/luxury kitchen push, FreshBreeze range expansion, distributor partner meets ongoing",2026-07-31
Sony,Consumer Electronics,"Audio-Visual, Gaming, Premium Home Entertainment",Medium,sony.co.in,New Delhi,"Double-digit FY26 growth target, premium (>Rs70k) home theatre push, festive season focus",2026-07-31
Panasonic,Consumer Durables,"Home Appliances, Electronics",Low,panasonic.com/in,"Gurugram, Haryana","Headcount contracting (-2.5% in 2026), near-zero active hiring - treat as dormant/monitor only",2026-07-31
Asus,IT / Computer Hardware,"Laptops, Gaming PCs, Components",High,asus.com/in,"Gurugram, Haryana","Aggressive exclusive-store rollout (Hyderabad, Guntur, Chennai), targeting 25-30% PC market share",2026-07-31
HP,IT / Computer Hardware,"Laptops, Workstations, Printers",Medium,hp.com/in-en,"Gurugram, Haryana","~1,000 reseller touchpoints, expanding AI PC / workstation portfolio, no major new-store news found",2026-07-31
Dell,IT / Computer Hardware,"Laptops, Workstations, Enterprise",Medium,dell.com/en-in,"Bengaluru, Karnataka","New consumer-sales GM appointed (Anurag Arora), SEZ/import talks with Karnataka govt for expansion",2026-07-31
boAt,Consumer Electronics,"Audio, Wearables",High,boat-lifestyle.com,"Gurugram, Haryana","~Rs2,000cr IPO (FY26/27) earmarked partly for retail expansion; ~100 franchise stores live and growing",2026-07-31
Noise,Consumer Electronics,"Wearables, Audio (Titan Company subsidiary)",High,gonoise.com,"Gurugram, Haryana",Plans ~15 new COCO stores over 24 months from IPO date; UAE/UK/EU international push; owned by Titan since Apr 2025,2026-07-31
