Brand,Stage,Owner,Last Update,Next Follow-up Date,Notes
Voltas,Prospect,Bikash Roy,2026-07-31,,Initial research complete - awaiting outreach
Haier,Prospect,Bikash Roy,2026-07-31,,Initial research complete - awaiting outreach
Liebherr,Researching,Bikash Roy,2026-07-31,,Initial research complete - awaiting outreach
Sony,Researching,Bikash Roy,2026-07-31,,Initial research complete - awaiting outreach
Panasonic,Dormant,Bikash Roy,2026-07-31,,Initial research complete - awaiting outreach
Asus,Prospect,Bikash Roy,2026-07-31,,Initial research complete - awaiting outreach
HP,Researching,Bikash Roy,2026-07-31,,Initial research complete - awaiting outreach
Dell,Researching,Bikash Roy,2026-07-31,,Initial research complete - awaiting outreach
boAt,Prospect,Bikash Roy,2026-07-31,,Initial research complete - awaiting outreach
Noise,Prospect,Bikash Roy,2026-07-31,,Initial research complete - awaiting outreach
