Brand,Decision Maker Name,Designation,Department,LinkedIn Profile,Official Email (public only),Official Contact Number (public only),Company Website,Office Location,Research Status
Voltas,,,Retail Operations / Trade Marketing,,,,myvoltas.com,"Mumbai, Maharashtra",Not yet researched - Milestone 2
Haier,,,HR / Talent Acquisition,,,,haier.com/in,"Greater Noida, UP",Not yet researched - Milestone 2
Liebherr,,,Marketing / Trade Marketing,,,,home.liebherr.com/en-in,"Ch. Sambhaji Nagar, Maharashtra",Not yet researched - Milestone 2
Sony,,,Retail Marketing,,,,sony.co.in,New Delhi,Not yet researched - Milestone 2
Panasonic,,,N/A (dormant),,,,panasonic.com/in,"Gurugram, Haryana",Not yet researched - low priority
Asus,,,Retail / Channel Sales,,,,asus.com/in,"Gurugram, Haryana",Not yet researched - Milestone 2
HP,,,Channel Marketing,,,,hp.com/in-en,"Gurugram, Haryana",Not yet researched - Milestone 2
Dell,Anurag Arora,"Senior Director & GM, Consumer Sales India",Consumer Sales,Search 'Anurag Arora Dell India' on LinkedIn to verify current URL,,,dell.com/en-in,"Bengaluru, Karnataka",Name confirmed via press coverage; LinkedIn URL/email/phone need manual verification
boAt,,,Retail Expansion / Franchise Team,,,,boat-lifestyle.com,"Gurugram, Haryana",Not yet researched - Milestone 2
Noise,,,Retail Operations,,,,gonoise.com,"Gurugram, Haryana",Not yet researched - Milestone 2
"Note: Only publicly available, verifiable contact info is entered here - never fabricated. Most rows are placeholders pending Milestone 2 (LinkedIn + public contact research).",,,,,,,,,
